player_id,player_name,season,fbref_player,age,birth_year,nation,position,position_group,squad,competition,foot,height_in_cm,market_value_eur,highest_market_value_in_eur,valuation_date,tm_match_method,tm_match_score,source_file,MP,Starts,Min,90s,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,TklW_per90,Int_per90,Blocks_per90,Clr_per90,Touches_per90,Carries_per90,Mis_per90,Dis_per90,Rec_per90,Recov_per90,AerWon_per90,AerLost_per90
353366,Benjamin Pavard,2022_2023,Benjamin Pavard,26.0,1996,FRA,DF,DF,Bayern Munich,Bundesliga,right,186.0,40000000,50000000,2023-06-22,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,17.0,15.0,1377.0,15.3,0.06535947712418301,0.07,0.0,,0.0,1.63,7.25,3.53,1.05,0.39,0.98,1.1099999999999999,2.94,2.03,1.63,0.85,2.81,97.3,57.6,0.46,0.13,67.9,5.69,1.76,1.05
160968,Benno Schmitz,2022_2023,Benno Schmitz,28.0,1994,GER,DF,DF,Köln,Bundesliga,right,182.0,3000000,3000000,2023-06-22,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,18.0,17.0,1393.0,15.5,0.06451612903225806,0.0,0.0,,0.0,1.29,4.71,5.23,0.32,0.06,0.77,1.61,2.32,1.55,0.9,1.35,2.39,61.9,25.4,0.97,0.26,30.8,5.23,1.1,1.23
463603,Benoît Badiashile,2022_2023,Benoît Badiashile,21.0,2001,FRA,DF,DF,Chelsea / Monaco,Premier League / Ligue 1,left,194.0,40000000,40000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,15.0,13.0,1199.0,13.3,0.15037593984962405,0.0,0.0,,0.0,0.5245112781954887,3.907293233082707,0.07518796992481203,0.6783458646616543,0.29894736842105263,0.22729323308270677,0.44932330827067674,1.2063157894736845,0.7517293233082707,1.5803759398496242,0.7534586466165414,4.6609022556390975,72.64887218045112,49.90676691729323,0.22375939849624063,0.07518796992481203,48.627819548872175,6.688721804511278,2.7833082706766916,0.8251879699248121
165513,Berat Djimsiti,2022_2023,Berat Djimsiti,29.0,1993,ALB,DF,DF,Atalanta,Serie A,right,190.0,10000000,22000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,10.0,6.0,623.0,6.9,0.0,0.0,0.0,,0.0,0.43,2.03,0.43,0.29,0.0,0.14,0.0,2.46,1.16,1.59,1.16,3.62,68.1,41.7,0.29,0.58,44.9,5.36,2.03,1.3
64598,Bernardo Espinosa,2022_2023,Bernardo Espinosa,33.0,1989,COL,DF,DF,Girona,Liga,right,192.0,1500000,7000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,13.0,10.0,842.0,9.4,0.0,0.11,0.0,,0.0,0.42999999999999994,2.02,0.21,0.64,0.32,0.11,0.0,0.42999999999999994,0.0,0.53,1.28,4.36,68.1,38.8,0.32,0.42999999999999994,45.2,4.89,3.83,1.28
241641,Bernardo Silva,2022_2023,Bernardo Silva,28.0,1994,POR,MFFW,MF,Manchester City,Premier League,left,173.0,80000000,100000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,20.0,16.0,1410.0,15.7,0.12738853503184713,0.32,0.0,,0.0,4.14,4.9,8.73,1.08,0.32,1.46,1.34,1.97,0.89,0.64,0.96,0.25,71.7,44.2,1.21,1.46,53.8,4.46,0.13,0.32
595809,Beto,2022_2023,Beto,25.0,1998,GNB,FW,FW,Udinese,Serie A,right,194.0,25000000,25000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,21.0,13.0,1203.0,13.4,0.5223880597014925,0.07,0.0,,0.0,0.97,0.45,5.519999999999999,2.31,0.9,0.9,0.14999999999999997,0.97,0.6700000000000002,0.14999999999999997,0.82,1.12,28.500000000000004,16.4,5.0,2.01,21.3,1.27,3.36,2.9099999999999997
364525,Bevic Moussiti-Oko,2022_2023,Bevic Moussiti-Oko,28.0,1995,CGO,FW,FW,Ajaccio,Ligue 1,right,184.0,500000,800000,2023-06-08,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,17.0,7.0,698.0,7.8,0.12820512820512822,0.0,0.0,,0.0,1.28,1.28,5.77,2.56,0.8999999999999999,0.64,0.26,0.38,0.13,0.26,0.64,1.03,33.5,20.4,3.21,1.41,24.4,3.46,6.79,6.03
229853,Birama Touré,2022_2023,Birama Touré,30.0,1992,MLI,MF,MF,Auxerre,Ligue 1,right,183.0,1800000,2000000,2023-06-27,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,22.0,22.0,1963.0,21.8,0.0,0.0,0.0,,0.0,0.41000000000000003,3.9399999999999995,0.78,0.69,0.14,0.14,0.37,1.9699999999999998,1.06,2.06,1.1,1.38,54.0,37.0,0.8300000000000001,0.32,32.8,6.6499999999999995,1.56,1.51
282250,Birger Meling,2022_2023,Birger Meling,28.0,1994,NOR,DF,DF,Rennes,Ligue 1,left,173.0,5000000,7000000,2023-06-27,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,16.0,4.0,530.0,5.9,0.0,0.0,0.0,,0.0,4.58,7.97,5.08,0.0,0.0,0.17,1.02,1.69,1.02,1.8600000000000003,1.02,2.03,71.2,49.7,0.68,0.34,44.099999999999994,5.59,1.36,1.02
