player_id,player_name,season,age,birth_year,nation,position,position_group,squad,competition,market_value_eur,valuation_date,Min,90s,Gls_per90,Ast_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,Int_per90,Blocks_per90,Touches_per90,Carries_per90
92571,Aaron Cresswell,2018_2019,28.0,1989,ENG,DF,DF,West Ham,Premier League,10000000,2019-06-13,1589.0,17.7,0.0,0.05649717514124294,0.02824858757062147,0.06214689265536724,1.9774011299435028,5.3107344632768365,5.8192090395480225,0.6214689265536724,0.0,0.96045197740113,1.073446327683616,1.6384180790960452,1.2994350282485876,1.5819209039548023,72.25988700564972,31.807909604519775
14221,Aaron Lennon,2018_2019,31.0,1987,ENG,MF,MF,Burnley,Premier League,5000000,2019-06-13,1215.0,13.5,0.07407407407407407,0.07407407407407407,0.05925925925925926,0.05185185185185185,1.5555555555555556,1.3333333333333333,4.074074074074074,0.2962962962962963,0.14814814814814814,0.5185185185185185,0.4444444444444444,1.9259259259259258,0.7407407407407407,1.7777777777777777,31.925925925925927,14.88888888888889
289587,Aaron Leya Iseka,2018_2019,20.0,1997,BEL,FW,FW,Toulouse,Ligue 1,3000000,2019-06-03,1444.0,16.0,0.25,0.0,0.24375,0.03125,0.9375,1.25,5.9375,1.75,0.6875,0.625,0.3125,0.375,0.0625,0.3125,25.125,15.25
123951,Aaron Mooy,2018_2019,27.0,1990,AUS,"MF,FW",MF,Huddersfield,Premier League,14000000,2019-06-13,2330.0,25.9,0.11583011583011583,0.03861003861003861,0.10810810810810811,0.1003861003861004,2.3552123552123554,5.9459459459459465,3.6293436293436296,1.6216216216216217,0.5019305019305019,1.6602316602316602,0.9266409266409267,2.393822393822394,0.5405405405405406,1.6602316602316602,65.52123552123552,35.366795366795365
50057,Aaron Ramsey,2018_2019,27.0,1990,WAL,MF,MF,Arsenal,Premier League,40000000,2019-06-13,1331.0,14.8,0.27027027027027023,0.4054054054054054,0.22972972972972971,0.13513513513513511,3.1756756756756754,5.945945945945946,8.986486486486486,2.22972972972973,0.8783783783783783,1.689189189189189,1.081081081081081,2.2972972972972974,0.6081081081081081,0.47297297297297297,65.67567567567568,38.78378378378378
477758,Aaron Wan-Bissaka,2018_2019,20.0,1997,ENG,DF,DF,Crystal Palace,Premier League,35000000,2019-06-13,3134.0,34.8,0.0,0.08620689655172414,0.014367816091954025,0.060344827586206906,2.873563218390805,4.56896551724138,3.4195402298850577,0.25862068965517243,0.0,0.40229885057471265,0.7183908045977012,3.7068965517241383,2.4137931034482762,1.4080459770114944,61.58045977011495,23.879310344827587
251878,Aarón Martín,2018_2019,21.0,1997,ESP,DF,DF,Mainz 05,Bundesliga,20000000,2019-06-05,2878.0,32.0,0.0,0.09375,0.025,0.153125,3.59375,3.3125,5.84375,0.5625,0.15625,1.96875,1.1875,1.71875,1.1875,1.1875,63.84375,30.5
229005,Abdou Diallo,2018_2019,22.0,1996,SEN,DF,DF,Dortmund,Bundesliga,35000000,2019-06-05,2379.0,26.4,0.03787878787878788,0.03787878787878788,0.060606060606060615,0.022727272727272728,1.7424242424242424,4.734848484848485,2.3484848484848486,0.3787878787878788,0.15151515151515152,0.4166666666666667,0.4166666666666667,1.3636363636363638,0.9848484848484849,1.0606060606060606,84.43181818181819,52.72727272727273
106837,Abdoulaye Ba,2018_2019,27.0,1991,SEN,DF,DF,Rayo Vallecano,Liga,2500000,2019-06-11,2110.0,23.4,0.042735042735042736,0.0,0.05555555555555556,0.004273504273504274,0.2136752136752137,1.8803418803418805,0.12820512820512822,0.38461538461538464,0.17094017094017094,0.08547008547008547,0.042735042735042736,1.965811965811966,1.2393162393162394,1.3675213675213675,57.991452991452995,31.623931623931625
62351,Abdoulaye Bamba,2018_2019,28.0,1990,CIV,DF,DF,Angers,Ligue 1,3000000,2019-06-03,2573.0,28.6,0.0,0.13986013986013984,0.006993006993006993,0.06643356643356643,2.097902097902098,3.1468531468531467,2.762237762237762,0.24475524475524474,0.0,0.5594405594405594,0.5944055944055944,1.7832167832167831,1.2937062937062938,0.6993006993006993,53.84615384615385,22.62237762237762
