fbref_player,age,birth_year,nation,position,squad,competition,tm_match_method,tm_match_score
Mohamed Haj,19.0,2005,tn TUN,MF,Parma,it Serie A,none,81
Henrique,30.0,1994,br BRA,DF,Valladolid,es La Liga,none,73
Juan Herzog,21.0,2003,es ESP,DF,Las Palmas,es La Liga,none,64
Pierre Højbjerg,28.0,1995,dk DEN,MF,Marseille,fr Ligue 1,none,83
Hafiz Ibrahim,18.0,2005,ng NGA,FW,Reims,fr Ligue 1,none,84
Iglesias,26.0,1998,es ESP,DF,Getafe,es La Liga,none,76
Igor,26.0,1998,br BRA,DF,Brighton,eng Premier League,none,57
Andy Irving,24.0,2000,sct SCO,MF,West Ham,eng Premier League,none,83
Diego Iturralde,21.0,2003,es ESP,FW,Sevilla,es La Liga,none,64
Ivan Jaime Pajuelo,23.0,2000,es ESP,MF,Valencia,es La Liga,none,71
Karl Jakob Hein,22.0,2002,ee EST,GK,Valladolid,es La Liga,none,75
Alejandro Jiménez,19.0,2005,es ESP,"DF,FW",Milan,it Serie A,none,79
Kim Jisoo,19.0,2004,kr KOR,DF,Brentford,eng Premier League,none,67
John Joe,20.0,2003,ie IRL,"MF,FW",Getafe,es La Liga,none,64
John Joe,20.0,2003,ie IRL,MF,Reims,fr Ligue 1,none,64
Jofre,23.0,2001,es ESP,"MF,FW",Espanyol,es La Liga,none,56
Luiz Lúcio Reis Júnior,23.0,2001,br BRA,GK,Villarreal,es La Liga,none,67
Hamed Junior Traorè,24.0,2000,ci CIV,MF,Auxerre,fr Ligue 1,none,77
Yaya Kader Fofana,20.0,2004,ml MLI,"MF,FW",Reims,fr Ligue 1,none,79
Justin-Noël Kalumba,19.0,2004,fr FRA,"FW,MF",Angers,fr Ligue 1,none,85
Kialonda,26.0,1997,ao ANG,DF,Lecce,it Serie A,none,62
Kiké,34.0,1989,es ESP,FW,Alavés,es La Liga,none,53
Max Kilman,27.0,1997,eng ENG,DF,West Ham,eng Premier League,none,74
Koka,31.0,1993,eg EGY,FW,Le Havre,fr Ligue 1,none,62
Emmanuel Koum Mbondo,18.0,2006,fr FRA,DF,Marseille,fr Ligue 1,none,63
Boubakar Kouyaté,27.0,1997,ml MLI,DF,Montpellier,fr Ligue 1,none,71
Mohamed Lamine Bayo,26.0,1998,gn GUI,FW,Lille,fr Ligue 1,none,77
Valentino Livramento,21.0,2002,eng ENG,DF,Newcastle Utd,eng Premier League,none,86
Fer López,,,,"FW,MF",Celta Vigo,es La Liga,none,
José Luis Gayà,29.0,1995,es ESP,DF,Valencia,es La Liga,none,78
Gabriel Magalhães,26.0,1997,br BRA,DF,Arsenal,eng Premier League,none,69
Edmond-Paris Maghoma,23.0,2001,eng ENG,"MF,FW",Brentford,eng Premier League,none,79
Radosław Majecki,24.0,1999,pl POL,GK,Monaco,fr Ligue 1,none,81
Hianga Mananga Mbock,24.0,1999,fr FRA,MF,Brest,fr Ligue 1,none,71
Mateus Mane,,,,MF,Wolves,eng Premier League,none,
Ange Martial Tia,17.0,2006,ml MLI,"MF,DF",Reims,fr Ligue 1,none,81
Marvin,24.0,2000,es ESP,"DF,FW",Las Palmas,es La Liga,none,71
Keke Maximilian Topp,20.0,2004,de GER,"FW,MF",Werder Bremen,de Bundesliga,none,68
Oliver McBurnie,28.0,1996,sct SCO,FW,Las Palmas,es La Liga,none,89
Mohamed Meité,16.0,2007,fr FRA,FW,Rennes,fr Ligue 1,none,62
Miguel,24.0,1999,es ESP,FW,Leganés,es La Liga,none,71
Max Moerstedt,,,de GER,FW,Hoffenheim,de Bundesliga,none,
Jeremy Monga,,,,"FW,MF",Leicester City,eng Premier League,none,
Joakim Mæhle,27.0,1997,dk DEN,DF,Wolfsburg,de Bundesliga,none,67
Obite N'Dicka,24.0,1999,ci CIV,DF,Roma,it Serie A,none,62
Loïc N'Gatta,20.0,2003,fr FRA,DF,Auxerre,fr Ligue 1,none,83
Nathan N'Goumou,24.0,2000,cm CMR,FW,Gladbach,de Bundesliga,none,67
Michel Ndary Adopo,24.0,2000,fr FRA,MF,Cagliari,it Serie A,none,80
Wilfried Ndollo,19.0,2005,cm CMR,DF,Montpellier,fr Ligue 1,none,83
Mikayil Ngor Faye,20.0,2004,sn SEN,DF,Rennes,fr Ligue 1,none,83
Abdoulaye Niakhate Ndiaye,22.0,2002,sn SEN,DF,Brest,fr Ligue 1,none,78
Oliver Nielsen,21.0,2003,dk DEN,DF,Lazio,it Serie A,none,77
Eybi Nije,19.0,2005,se SWE,"FW,MF",Torino,it Serie A,none,55
Chidozie Obi-Martin,16.0,2007,dk DEN,FW,Manchester Utd,eng Premier League,none,65
Ifechukwu Ogbus,18.0,2005,ch SUI,DF,Freiburg,de Bundesliga,none,54
Olasagasti,23.0,2000,es ESP,MF,Real Sociedad,es La Liga,none,67
Finn Ole Becker,24.0,2000,de GER,MF,Hoffenheim,de Bundesliga,none,85
Lucas Oliveira Rosa,24.0,2000,br BRA,DF,Valladolid,es La Liga,none,69
Gabriel Osei Misehouy,19.0,2005,nl NED,"FW,MF",Girona,es La Liga,none,86
Guimissongui Ouattara,18.0,2005,fr FRA,"DF,FW",Strasbourg,fr Ligue 1,none,56
Cheick Oumar Conde,24.0,2000,gn GUI,MF,Venezia,it Serie A,none,80
Isaac Palazón Camacho,29.0,1994,es ESP,"MF,FW",Rayo Vallecano,es La Liga,none,62
Emerson Palmieri,29.0,1994,it ITA,DF,West Ham,eng Premier League,none,65
Álvaro Pascual,22.0,2002,es ESP,FW,Sevilla,es La Liga,none,80
Nicolás Paz,19.0,2004,ar ARG,"MF,FW",Como,it Serie A,none,84
Jordan Pefok,28.0,1996,us USA,FW,Reims,fr Ligue 1,none,73
Jordan Pefok,28.0,1996,us USA,FW,Union Berlin,de Bundesliga,none,73
Faris Pemi Moumbagna,24.0,2000,cm CMR,FW,Marseille,fr Ligue 1,none,86
Peque,21.0,2002,es ESP,"MF,FW",Sevilla,es La Liga,none,55
Francisco Perez,21.0,2002,es ESP,"FW,MF",Valencia,es La Liga,none,80
Đorđe Petrović,24.0,1999,rs SRB,GK,Strasbourg,fr Ligue 1,none,79
Jaden Philogene Bidace,22.0,2002,eng ENG,"FW,MF",Aston Villa,eng Premier League,none,81
Jaden Philogene Bidace,22.0,2002,eng ENG,"FW,DF",Ipswich Town,eng Premier League,none,81
Pica,22.0,2002,es ESP,DF,Alavés,es La Liga,none,62
Hákon Rafn Valdimarsson,22.0,2001,is ISL,GK,Brentford,eng Premier League,none,88
Grant Ranos,21.0,2003,am ARM,FW,Gladbach,de Bundesliga,none,81
Raúl,23.0,2000,es ESP,"FW,MF",Osasuna,es La Liga,none,60
Abderrahman Rebbach,25.0,1998,dz ALG,"FW,MF",Alavés,es La Liga,none,77
Gio Reyna,21.0,2002,us USA,MF,Dortmund,de Bundesliga,none,78
Alexsandro Ribeiro,24.0,1999,br BRA,DF,Lille,fr Ligue 1,none,74
Gorka Rivera Alonso,19.0,2004,es ESP,"DF,MF",Getafe,es La Liga,none,77
Rodri,24.0,2000,es ESP,FW,Betis,es La Liga,none,59
Alejandro Rodriguez,16.0,2008,pt POR,MF,Lyon,fr Ligue 1,none,86
Óscar Rodríguez Arnaiz,26.0,1998,es ESP,"MF,FW",Leganés,es La Liga,none,81
Jon Rowe,21.0,2003,eng ENG,"FW,MF",Marseille,fr Ligue 1,none,76
Fabián Ruiz Peña,28.0,1996,es ESP,MF,Paris S-G,fr Ligue 1,none,81
Frederik Rønnow,31.0,1992,dk DEN,GK,Union Berlin,de Bundesliga,none,87
Mama Samba Baldé,28.0,1995,gw GNB,FW,Lyon,fr Ligue 1,none,77
Mama Samba Baldé,28.0,1995,gw GNB,FW,Brest,fr Ligue 1,none,77
Chuky san jose,20.0,2004,es ESP,MF,Valladolid,es La Liga,none,58
Jesús Santiago,20.0,2004,es ESP,MF,Getafe,es La Liga,none,77
Sávio,20.0,2004,br BRA,"FW,MF",Manchester City,eng Premier League,none,83
Sergi,32.0,1992,es ESP,DF,Leganés,es La Liga,none,67
Nicolás Serrano,21.0,2003,es ESP,FW,Athletic Club,es La Liga,none,89
Caio Henrique Oliveira Silva,27.0,1997,br BRA,DF,Monaco,fr Ligue 1,none,63
Jailson Siqueira,28.0,1995,br BRA,"DF,MF",Celta Vigo,es La Liga,none,67
Niama Sissoko,18.0,2005,ml MLI,"FW,MF",Reims,fr Ligue 1,none,72
Leo Skiri Østigård,24.0,1999,no NOR,DF,Rennes,fr Ligue 1,none,79
Leo Skiri Østigård,24.0,1999,no NOR,DF,Hoffenheim,de Bundesliga,none,79
Łukasz Skorupski,33.0,1991,pl POL,GK,Bologna,it Serie A,none,58
Orri Steinn Óskarsson,19.0,2004,is ISL,FW,Real Sociedad,es La Liga,none,80
Finley Stevens,21.0,2003,wls WAL,DF,St. Pauli,de Bundesliga,none,88
Musa Al-Taamari,27.0,1997,jo JOR,"FW,MF",Montpellier,fr Ligue 1,none,81
Musa Al-Taamari,27.0,1997,jo JOR,"FW,MF",Rennes,fr Ligue 1,none,81
Norman Theuerkauf,37.0,1987,de GER,MF,Heidenheim,de Bundesliga,none,56
