player_id,player_name,age,birth_year,nation,position,position_group,squad,competition,market_value_eur,Min,90s,Gls_per90,Ast_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,Int_per90,Blocks_per90,Touches_per90,Carries_per90
92571,Aaron Cresswell,34.0,1989,eng ENG,DF,DF,West Ham,eng Premier League,500000,824.0,9.2,0.0,0.0,0.02173913043478261,0.14130434782608697,0.6521739130434783,3.91304347826087,0.4347826086956522,0.5434782608695653,0.0,0.9782608695652175,0.5434782608695653,1.1956521739130437,0.8695652173913044,1.0869565217391306,74.67391304347827,31.6304347826087
427568,Aaron Ramsdale,26.0,1998,eng ENG,GK,GK,Southampton,eng Premier League,16000000,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,43.8,26.2
477758,Aaron Wan-Bissaka,26.0,1997,eng ENG,DF,DF,West Ham,eng Premier League,24000000,3154.0,35.0,0.05714285714285714,0.14285714285714285,0.03428571428571429,0.1,3.142857142857143,4.257142857142857,4.771428571428571,0.45714285714285713,0.14285714285714285,0.9428571428571428,1.0,2.0,1.8857142857142857,1.7714285714285714,64.45714285714286,31.2
251878,Aarón Martín,27.0,1997,es ESP,DF,DF,Genoa,it Serie A,5000000,3085.0,34.3,0.0,0.23323615160349856,0.02623906705539359,0.16034985422740525,1.457725947521866,2.623906705539359,3.1486880466472305,0.4664723032069971,0.11661807580174928,1.8950437317784259,0.8746355685131196,2.0699708454810497,0.5539358600583091,0.8746355685131196,56.88046647230321,25.597667638483966
962555,Abakar Sylla,21.0,2002,ci CIV,DF,DF,Strasbourg,fr Ligue 1,10000000,950.0,10.6,0.09433962264150944,0.0,0.03773584905660378,0.009433962264150945,0.0,1.9811320754716981,0.2830188679245283,0.4716981132075472,0.09433962264150944,0.09433962264150944,0.09433962264150944,2.547169811320755,1.0377358490566038,0.6603773584905661,74.62264150943396,40.09433962264151
776798,Abdallah Sima,23.0,2001,sn SEN,"FW,MF",FW,Brest,fr Ligue 1,9000000,1238.0,13.8,0.5072463768115941,0.14492753623188406,0.427536231884058,0.07246376811594203,2.608695652173913,1.7391304347826086,6.666666666666666,2.681159420289855,1.3043478260869565,0.9420289855072463,0.43478260869565216,1.0869565217391304,0.07246376811594203,1.0869565217391304,36.95652173913043,21.666666666666664
724520,Abde Ezzalzouli,22.0,2001,ma MAR,"FW,MF",FW,Betis,es La Liga,12000000,1984.0,22.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,5.318181818181818,3.090909090909091,9.772727272727273,2.772727272727273,1.1363636363636365,1.2272727272727273,0.8636363636363636,1.6818181818181819,0.3181818181818182,1.2272727272727273,49.13636363636363,32.09090909090909
559979,Abdel Abqar,25.0,1999,ma MAR,DF,DF,Alavés,es La Liga,7500000,2463.0,27.4,0.0,0.03649635036496351,0.032846715328467155,0.010948905109489052,0.5839416058394161,2.883211678832117,0.14598540145985403,0.43795620437956206,0.03649635036496351,0.29197080291970806,0.36496350364963503,1.3138686131386863,1.4233576642335768,0.21897810218978103,45.65693430656935,23.065693430656935
416386,Abdou Harroui,26.0,1998,nl NED,"MF,FW",MF,Hellas Verona,it Serie A,1800000,463.0,5.1,0.19607843137254904,0.3921568627450981,0.4313725490196079,0.07843137254901962,4.509803921568627,4.11764705882353,6.666666666666667,2.9411764705882355,0.7843137254901962,0.7843137254901962,0.5882352941176471,1.7647058823529413,0.3921568627450981,1.1764705882352942,55.490196078431374,34.31372549019608
62351,Abdoulaye Bamba,34.0,1990,ci CIV,DF,DF,Angers,fr Ligue 1,400000,1510.0,16.8,0.0,0.0,0.005952380952380952,0.017857142857142856,0.05952380952380952,0.9523809523809523,0.17857142857142858,0.05952380952380952,0.0,0.35714285714285715,0.23809523809523808,1.3095238095238095,1.130952380952381,0.23809523809523808,44.226190476190474,24.285714285714285
127187,Abdoulaye Doucouré,31.0,1993,ml MLI,MF,MF,Everton,eng Premier League,7000000,2564.0,28.5,0.10526315789473684,0.07017543859649122,0.143859649122807,0.08421052631578947,1.4736842105263157,2.8771929824561404,3.3684210526315788,1.087719298245614,0.3157894736842105,0.9824561403508771,0.5263157894736842,1.6842105263157894,0.3508771929824561,0.9473684210526315,40.73684210526316,21.19298245614035
181382,Abdoulaye Touré,30.0,1994,gn GUI,MF,MF,Le Havre,fr Ligue 1,3000000,2324.0,25.8,0.38759689922480617,0.03875968992248062,0.3643410852713178,0.015503875968992248,0.6589147286821705,4.224806201550387,1.0852713178294573,1.4728682170542635,0.23255813953488372,0.2713178294573643,0.38759689922480617,2.3643410852713176,1.317829457364341,0.31007751937984496,52.48062015503876,27.674418604651162
763079,Abdukodir Khusanov,20.0,2004,uz UZB,DF,DF,Manchester City / Lens,eng Premier League / fr Ligue 1,35000000,1478.0,16.4,0.0,0.0,0.012195121951219514,0.02439024390243903,0.1829268292682927,4.146341463414634,0.48780487804878053,0.426829268292683,0.24390243902439027,0.24390243902439027,0.24390243902439027,1.2195121951219514,1.7682926829268295,0.3658536585365854,68.78048780487805,37.37804878048781
451801,Abdul Mumin,26.0,1998,gh GHA,DF,DF,Rayo Vallecano,es La Liga,2500000,2017.0,22.4,0.08928571428571429,0.044642857142857144,0.026785714285714288,0.00892857142857143,0.5357142857142857,1.7857142857142858,0.26785714285714285,0.44642857142857145,0.13392857142857142,0.044642857142857144,0.044642857142857144,1.6517857142857144,1.0267857142857144,0.17857142857142858,60.31250000000001,32.36607142857143
177452,Abdón Prats,31.0,1992,es ESP,"FW,MF",FW,Mallorca,es La Liga,1200000,456.0,5.1,0.3921568627450981,0.0,0.4313725490196079,0.019607843137254905,0.0,1.3725490196078431,2.7450980392156863,2.5490196078431375,0.7843137254901962,0.5882352941176471,0.19607843137254904,0.3921568627450981,0.19607843137254904,0.19607843137254904,28.627450980392158,15.098039215686276
340376,Abel Ruiz,24.0,2000,es ESP,FW,FW,Girona,es La Liga,4000000,1346.0,15.0,0.26666666666666666,0.0,0.30666666666666664,0.03333333333333333,1.4,1.5333333333333334,4.733333333333333,1.4,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,26.066666666666666,15.0
646402,Abner,24.0,2000,br BRA,DF,DF,Lyon,fr Ligue 1,7000000,1090.0,12.1,0.08264462809917356,0.08264462809917356,0.049586776859504134,0.09090909090909093,2.56198347107438,5.454545454545455,4.545454545454546,0.578512396694215,0.24793388429752067,0.9090909090909092,0.9090909090909092,2.396694214876033,0.4132231404958678,1.5702479338842976,65.37190082644628,35.20661157024794
398073,Achraf Hakimi,25.0,1998,ma MAR,DF,DF,Paris S-G,fr Ligue 1,80000000,2066.0,23.0,0.17391304347826086,0.2608695652173913,0.12608695652173912,0.26956521739130435,4.043478260869565,7.956521739130435,11.91304347826087,1.391304347826087,0.5217391304347826,2.1739130434782608,1.608695652173913,2.0869565217391304,1.3478260869565217,1.391304347826087,103.08695652173913,60.17391304347826
250426,Adam Armstrong,27.0,1997,eng ENG,"FW,MF",FW,Southampton,eng Premier League,12000000,1248.0,13.9,0.14388489208633093,0.14388489208633093,0.23741007194244604,0.08633093525179855,1.7985611510791366,1.5107913669064748,5.683453237410072,1.7985611510791366,0.5035971223021583,0.6474820143884892,0.5755395683453237,0.8633093525179856,0.2158273381294964,0.8633093525179856,27.12230215827338,16.906474820143885
938146,Adam Aznou,18.0,2006,ma MAR,DF,DF,Valladolid / Bayern Munich,es La Liga / de Bundesliga,4000000,893.0,9.899999999999999,0.0,0.0,0.030303030303030307,0.030303030303030307,1.6161616161616164,2.6262626262626267,2.8282828282828287,0.4040404040404041,0.10101010101010102,0.6060606060606062,0.4040404040404041,2.8282828282828287,1.0101010101010102,1.2121212121212124,53.13131313131314,23.333333333333336
552057,Adam Hlozek,22.0,2002,cz CZE,"FW,MF",FW,Hoffenheim,de Bundesliga,18000000,1871.0,20.8,0.3846153846153846,0.1923076923076923,0.2692307692307692,0.16826923076923075,2.5961538461538463,3.269230769230769,4.903846153846153,2.8365384615384612,1.1538461538461537,0.9615384615384615,0.9134615384615384,1.0576923076923077,0.1923076923076923,0.9134615384615384,36.58653846153846,20.625
